IOC English name,Scientific name,Exemption,Date
Common Ostrich,Struthio camelus,except for the known population in the Barham region,16 May 2025
Cape Barren Goose,Cereopsis novaehollandiae,,16 May 2025
Cotton Pygmy Goose,Nettapus coromandelianus,except within 100km from the Queensland border,16 May 2025
Green Pygmy Goose,Nettapus pulchellus,,16 May 2025
Fiordland Penguin,Eudyptes pachyrhynchus,,16 May 2025
Southern Royal Albatross,Diomedea epomophora,,16 May 2025
Northern Royal Albatross,Diomedea sanfordi,,16 May 2025
Sooty Albatross,Phoebetria fusca,,16 May 2025
Light-mantled Albatross,Phoebetria palpebrata,,16 May 2025
Salvin’s Albatross,Thalassarche salvini,,16 May 2025
Grey-headed Albatross,Thalassarche chrysostoma,,16 May 2025
Southern Fulmar,Fulmarus glacialoides,,16 May 2025
Blue Petrel,Halobaena caerulea,,16 May 2025
Salvin’s Prion,Pachyptila salvini,,16 May 2025
Kerguelen Petrel,Aphrodroma brevirostris,,16 May 2025
Great-winged Petrel,Pterodroma macroptera,,16 May 2025
Soft-plumaged Petrel,Pterodroma mollis,,16 May 2025
Mottled Petrel,Pterodroma inexpectata,,16 May 2025
Grey Petrel,Procellaria cinerea,,16 May 2025
Westland Petrel,Procellaria westlandica,,16 May 2025
Bulwer’s Petrel,Bulweria bulwerii,,16 May 2025
Grey-backed Storm Petrel,Garrodia nereis,except for sightings south of Ulladulla,16 May 2025
White-bellied Storm Petrel,Fregetta grallaria (14),except for Lord Howe Island,16 May 2025
New Caledonian Storm Petrel,Fregetta lineate,except for sightings north of Evans Head,16 May 2025
Pied Heron,Egretta picata,,16 May 2025
Great Frigatebird,Fregata minor,,16 May 2025
Black-faced Cormorant,Phalacrocorax fuscescens,except for the far South Coast,16 May 2025
Red Goshawk,Erythrotriorchis radiatus,,16 May 2025
Black-breasted Buttonquail,Turnix melanogaster,,16 May 2025
Asian Dowitcher,Limnodromus semipalmatus,,16 May 2025
Common Redshank,Tringa tetanus,,16 May 2025
Little Stint,Calidris minuta,,16 May 2025
Long-toed Stint,Calidris subminuta,,16 May 2025
Red-necked Phalarope,Phalaropus lobatus,,16 May 2025
Oriental Pratincole,Glareola maldivarum,,16 May 2025
Little Ringed Plover,Charadrius dubius,,16 May 2025
Fairy Tern,Sternula nereis,except south of Sydney Harbour,16 May 2025
Bridled Tern,Onychoprion anaethetus,,16 May 2025
Roseate Tern,Sterna dougalli,,16 May 2025
Black-naped Tern,Sterna sumatrana,,16 May 2025
South Polar Skua,Stercorarius maccormicki,pale and intermediate morphs only – dark morph subject to review by BARC,16 May 2025
Flock Bronzewing,Phaps histrionica,except for the Upper and Lower far western region of NSW,16 May 2025
Squatter Pigeon,Geophaps scripta,,16 May 2025
Torresian Imperial Pigeon,Ducula spilorrhoa,,16 May 2025
Purple-crowned Lorikeet,Glossopsitta porphyrocephala,except for sightings within 30 km of the Victorian border,16 May 2025
Elegant Parrot,Neophema elegans,,16 May 2025
Orange-bellied Parrot,Neophema chrysogaster,,16 May 2025
Scarlet-chested Parrot,Neophema splendida,,16 May 2025
Double-eyed Fig Parrot,Cyclopsitta diophthalma,,16 May 2025
Australian Swiftlet,Aerodramus terraereginae,,16 May 2025
Eyrean Grasswren,Amytornis goyderi,"except for the known population in the Wild Deserts project site, Sturt NP",16 May 2025
Thick-billed Grasswren,Amytornis modetus,except for the known population near Packsaddle,16 May 2025
Purple-gaped Honeyeater,Lichenostomus cratitius,,16 May 2025
Black-eared Miner,Manorina melanotis,,16 May 2025
Slaty-backed Thornbill,Acanthiza robustirostris,except for the known population in Gundabooka NP,16 May 2025
Banded Honeyeater,Cissomela pectoralis,,16 May 2025
Dusky Myzomela,Myzomela obscura,except in the area around Tomewin and Dungay,16 May 2025
Banded Whiteface,Aphelocephala nigricincta,except for the area adjacent to the South Australian border in the Upper far west region of NSW,16 May 2025
Red-lored Whistler,Pachycephala rufogularis,"except for Yathong, Nombinnie and Round Hill",16 May 2025
Shining Flycatcher,Myiagra alecto,except in the Cobaki Broadwater,16 May 2025
Pink Robin,Petroica rodinogaster,except for the far South Coast and the Southern Highlands,16 May 2025
Barn Swallow,Hirundo rustica,,16 May 2025
Canary White-eye,Zosterops luteus,,16 May 2025
Metallic Starling,Aplonis metallica,,16 May 2025
Song Thrush,Turdus philomelos,except for Lord Howe Island,16 May 2025
Sahul Sunbird,Cinnyris jugularis,,16 May 2025
Painted Finch,Emblema pictum,,16 May 2025
Black-throated Finch,Poephila cincta,,16 May 2025
Grey Wagtail,Motacilla cinerea,,16 May 2025
White Wagtail,Motacilla alba,,16 May 2025